student_id,first_name,last_name,sex,department,major,minor,gpa,location,commute,high_school_score,year,graduated_in_4_years
77738221,Ravi,Davis,Male,Engineering,Aerospace Engineering,Film Studies,3.93,Edinburg,No,93,2018,Yes
97441042,Alexander,Rodriguez,Male,Engineering,Electrical Engineering,Leadership Studies,2.51,Brownsville,No,80,2018,Yes
92469225,Jordan,Martin,Male,Computers,Computer Science,Mathematics,3.67,Brownsville,Yes,83,2018,Yes
40430444,Wei,White,Male,Medicine,Pharmacy,Public Relations,3.68,Harlingen,Yes,81,2018,Yes
79007046,Ana,Wang,Female,Arts,Graphic Design,Sociology,1.84,Edinburg,No,61,2018,No
87055908,Arjun,Harris,Male,Computers,Computer Science,Health Science,1.58,Harlingen,No,55,2018,No
61597990,Benjamin,Hill,Male,Civil,Environmental Engineering,Mathematics,3.43,Harlingen,Yes,90,2018,No
91604095,Isabella,Clark,Female,Mechanical,Robotics,Creative Writing,3.32,Brownsville,Yes,65,2018,No
64702720,Grace,Shah,Female,Civil,Urban Planning,Mathematics,2.95,Harlingen,No,60,2018,Yes
19096070,Samuel,Gonzalez,Male,Medicine,Biomedical Sciences,Political Science,3.72,Brownsville,Yes,81,2018,Yes
54325116,Miguel,Robinson,Male,Mechanical,Thermodynamics,Ethics,2.44,Brownsville,Yes,63,2018,Yes
53530469,Ricardo,Kumar,Male,Arts,Theater,Environmental Science,4.0,Brownsville,No,80,2018,Yes
37878343,Luna,Williams,Female,Computers,Software Engineering,Sociology,2.56,Brownsville,No,61,2018,No
10835621,Charlotte,Choi,Female,Civil,Geotechnical Engineering,Journalism,3.55,Harlingen,Yes,80,2018,Yes
78522391,Sebastian,Davis,Male,Arts,Graphic Design,Political Science,3.33,Brownsville,Yes,73,2018,Yes
61372234,Grace,Singh,Female,Mechanical,Thermodynamics,Data Analytics,1.47,Edinburg,Yes,38,2018,No
98560279,Lucia,Sharma,Female,Civil,Geotechnical Engineering,Public Relations,3.67,Brownsville,No,87,2018,No
58540223,Henry,Johnson,Male,Mechanical,Automotive Engineering,Entrepreneurship,1.6,Brownsville,Yes,49,2018,No
71695927,Ravi,Miller,Male,Medicine,Biomedical Sciences,Spanish,1.48,Edinburg,No,64,2018,No
79575953,Abigail,Harris,Female,Business,Finance,Film Studies,1.25,Edinburg,No,52,2018,No
68496343,Madison,Taylor,Female,Arts,Graphic Design,Leadership Studies,3.54,Brownsville,Yes,90,2018,Yes
51215809,Riley,Patel,Female,Computers,Data Science,Political Science,2.49,Harlingen,Yes,57,2018,No
34558624,Carlos,Clark,Male,Civil,Transportation Engineering,Psychology,3.16,Brownsville,No,74,2018,Yes
96808645,Ananya,King,Female,Civil,Environmental Engineering,Environmental Science,2.68,Edinburg,Yes,66,2018,Yes
79115321,Samuel,King,Male,Computers,Computer Science,Mathematics,1.84,Edinburg,No,61,2018,No
18972663,Lucas,Nguyen,Male,Civil,Transportation Engineering,Journalism,2.61,Harlingen,Yes,70,2018,No
77134406,Sara,Walker,Female,Business,Economics,Health Science,3.43,Harlingen,No,77,2018,No
32745439,Sofia,Martinez,Female,Medicine,Biomedical Sciences,Political Science,2.2,Brownsville,No,56,2018,No
72672082,Jack,Scott,Male,Business,Entrepreneurship,Journalism,2.71,Harlingen,No,58,2018,No
93312224,Miguel,White,Male,Business,Management,Leadership Studies,1.61,Harlingen,Yes,49,2018,No
26191369,Nathan,Jones,Male,Civil,Geotechnical Engineering,Data Analytics,1.51,Brownsville,Yes,47,2018,No
93619048,Charlotte,Ramirez,Female,Mechanical,HVAC Engineering,Ethics,3.45,Edinburg,Yes,90,2018,No
59049440,Camila,Davis,Female,Engineering,Aerospace Engineering,Cybersecurity,3.8,Brownsville,Yes,100,2018,Yes
